pair,year_prev,year_curr,prior_rate_prev,prior_rate_curr,x_only_auc,class1_auc,class1_null_mean,class0_auc,class0_null_mean,concept_asymmetry,reading
2017 vs 2018,2017,2018,0.018067291370809868,0.022388391066143907,0.7350440951555759,0.6470855322501652,0.49903113799771326,0.734999530544448,0.50002438273,-0.08692075356199602,global covariate shift
2017 vs 2019,2017,2019,0.018067291370809868,0.02060370756118442,0.7469678831430544,0.6829350241701009,0.5000508480742466,0.7476723208731146,0.499771465787,-0.06501667899026037,global covariate shift
2018 vs 2019,2018,2019,0.022388391066143907,0.02060370756118442,0.7870165719288786,0.6952190285565005,0.5000508480742466,0.787917567975471,0.499771465787,-0.09297792170621705,global covariate shift
2017 vs 2020,2017,2020,0.018067291370809868,0.024471430652465022,0.709977724928559,0.7188632499277345,0.5014941369953171,0.7090942517538085,0.499543018974,0.00781788015260898,global covariate shift
2018 vs 2020,2018,2020,0.022388391066143907,0.024471430652465022,0.7705595200351167,0.7388152005415454,0.5014941369953171,0.77091079189536,0.499543018974,-0.03404670937513177,global covariate shift
2019 vs 2020,2019,2020,0.02060370756118442,0.024471430652465022,0.5957187600754308,0.6114869789455565,0.5014941369953171,0.5942368048565557,0.499543018974,0.01529905606768367,global covariate shift
2017 vs 2021,2017,2021,0.018067291370809868,0.01686685606695017,0.7388198573161093,0.7297083719264659,0.49915111023526537,0.7383635819891333,0.49977364125,-0.008032679047932811,global covariate shift
2018 vs 2021,2018,2021,0.022388391066143907,0.01686685606695017,0.7791067696490656,0.7515326273214527,0.49915111023526537,0.7789726369393406,0.49977364125,-0.02681747860315331,global covariate shift
2019 vs 2021,2019,2021,0.02060370756118442,0.01686685606695017,0.6272171011025409,0.5989427255883222,0.49915111023526537,0.6270868351990848,0.49977364125,-0.027521578596027996,global covariate shift
2020 vs 2021,2020,2021,0.024471430652465022,0.01686685606695017,0.6256192781329482,0.6203933572609467,0.49915111023526537,0.6237815003299607,0.49977364125,-0.002765612054279387,global covariate shift
2017 vs 2022,2017,2022,0.018067291370809868,0.03150032601049622,0.6663141813174064,0.6707399105167542,0.499886514301351,0.6645339369151125,0.49981015971,0.006129619010290632,global covariate shift
2018 vs 2022,2018,2022,0.022388391066143907,0.03150032601049622,0.7658758005135762,0.6053757329739058,0.499886514301351,0.7679791227493119,0.49981015971,-0.16267974436675714,global covariate shift
2019 vs 2022,2019,2022,0.02060370756118442,0.03150032601049622,0.6959048926423647,0.6668491446250855,0.499886514301351,0.6945265119581718,0.49981015971,-0.02775372192443737,global covariate shift
2020 vs 2022,2020,2022,0.024471430652465022,0.03150032601049622,0.66659075649565,0.7246644807496312,0.499886514301351,0.664620843398695,0.49981015971,0.05996728275958518,global covariate shift
2021 vs 2022,2021,2022,0.01686685606695017,0.03150032601049622,0.7111769803662169,0.738038423160648,0.499886514301351,0.7093637835609553,0.49981015971,0.028598285008341717,global covariate shift
