split,year,n_valid,n_pos,positive_rate
train,2016,5597049,78055,0.013945741764990801
train,2017,5597049,103078,0.018416490547072215
train,2018,5597049,114827,0.020515632434163072
train,2019,5597049,113468,0.020272825912369178
train,2020,5597049,104134,0.01860516139844407
train,2021,5597049,85176,0.01521801935269818
train,2022,5597049,171424,0.03062756820603143
val,2016,1273336,20501,0.01610022806234961
val,2017,1273336,23918,0.018783730295852785
val,2018,1273336,28154,0.02211042489963372
val,2019,1273336,23250,0.018259124064661646
val,2020,1273336,21516,0.016897346811839138
val,2021,1273336,19806,0.015554417687083377
val,2022,1273336,36686,0.028810934427362454
test,2016,1283701,16805,0.0130910546926426
test,2017,1283701,23193,0.018067291370809868
test,2018,1283701,28740,0.022388391066143907
test,2019,1283701,26449,0.02060370756118442
test,2020,1283701,31414,0.024471430652465022
test,2021,1283701,21652,0.01686685606695017
test,2022,1283701,40437,0.03150032601049622
