pair,year_prev,year_target,n_train,n_val,n_test,val_auc,test_auc,val_f1,test_f1,time_sec
2017 vs 2018,2017,2018,11192640,2546360,2566882,0.7607023987277938,0.758830473860883,0.7010244541736712,0.7024473978244771,6078.154202699661
2017 vs 2019,2017,2019,11192640,2546360,2566882,0.7781315915643929,0.7655401652193656,0.7166434907405937,0.7112266133761076,5143.179362297058
2018 vs 2019,2018,2019,11192640,2546360,2566882,0.7956363403541837,0.7981749513751148,0.7077116144417448,0.715893178006237,2238.218840122223
2017 vs 2020,2017,2020,11192640,2546360,2566882,0.7250835209057246,0.7300483036486957,0.6783462333772505,0.687602292373461,2351.6218450069427
2018 vs 2020,2018,2020,11192640,2546360,2566882,0.7588382471098978,0.781046870254016,0.6843290781130456,0.703913922723315,17474.920848846436
2019 vs 2020,2019,2020,11192640,2546360,2566882,0.6168550586013212,0.6095318652370799,0.5867095325262656,0.5732320124341983,2002.8636543750763
2017 vs 2021,2017,2021,11192640,2546360,2566882,0.7702706193914316,0.7594714271245204,0.7128987093160039,0.7024889875198076,22777.162273406982
2018 vs 2021,2018,2021,11192640,2546360,2566882,0.7871123588012113,0.7919105376146849,0.7055914052979589,0.7060841427302988,2341.9823141098022
2019 vs 2021,2019,2021,11192640,2546360,2566882,0.6363562569794234,0.6528256763461769,0.5831352711472333,0.58818061234914,2923.2016654014587
2020 vs 2021,2020,2021,11192640,2546360,2566882,0.6439194453709777,0.6401766165887263,0.6025241140751281,0.6024103918237484,1422.8045268058777
2017 vs 2022,2017,2022,11192640,2546360,2566882,0.7138430344601382,0.6897432976718931,0.6659957989573894,0.6517348869948386,2277.9921629428864
2018 vs 2022,2018,2022,11192640,2546360,2566882,0.7765252822909756,0.7825925761738032,0.6932885103173364,0.7010053636721663,81397.63046741486
2019 vs 2022,2019,2022,11192640,2546360,2566882,0.708969088907287,0.7042252610009947,0.6488856008700981,0.6477858351377032,2223.8055460453033
2020 vs 2022,2020,2022,11192640,2546360,2566882,0.6551972433177323,0.6674317143858101,0.6211414604829741,0.6291398428118002,152.56475591659546
2021 vs 2022,2021,2022,11192640,2546360,2566882,0.7220553758783387,0.7249915026706069,0.6651631787750862,0.6673069516011275,877.1828179359436
