source_id,source_label,source_section,evaluation_scope,row_uid,model_year,eval_year,year,years_included,scaler_year_used,threshold_used,threshold_source,threshold_reason,n_val_threshold_samples,n_test_samples,accuracy,precision,recall,f1_score,roc_auc,pr_auc
final_model_per_year,Final model per year,14,final_model_on_each_test_year,final_model_per_year:final_all_years:2017,final_all_years,2017.0,2017,,2017.0,0.9335407208988816,computed_pr_f1_eval_year,max F1 on eval-year 2017 validation PR curve,1270825,1278700,0.9570485649487761,0.12206796370823708,0.22112937319356368,0.15730199159173905,0.7941233382868542,0.08402108532871709
final_model_per_year,Final model per year,14,final_model_on_each_test_year,final_model_per_year:final_all_years:2018,final_all_years,2018.0,2018,,2018.0,0.9306216346554292,computed_pr_f1_eval_year,max F1 on eval-year 2018 validation PR curve,1271706,1281398,0.970272311959282,0.2685180609774176,0.18917977997493385,0.22197259042911704,0.7200590462903202,0.15126474848843757
final_model_per_year,Final model per year,14,final_model_on_each_test_year,final_model_per_year:final_all_years:2019,final_all_years,2019.0,2019,,2019.0,0.9699832436456353,computed_pr_f1_eval_year,max F1 on eval-year 2019 validation PR curve,1271570,1281008,0.9788260494860298,0.4844754479551361,0.4018454789547328,0.4393087481395733,0.8695079829627725,0.38234397101748
final_model_per_year,Final model per year,14,final_model_on_each_test_year,final_model_per_year:final_all_years:2020,final_all_years,2020.0,2020,,2020.0,0.970421929533999,computed_pr_f1_eval_year,max F1 on eval-year 2020 validation PR curve,1271629,1281489,0.9791063364570434,0.6150360965894947,0.393457765320423,0.47990520774654727,0.9044481091626021,0.4516681877512535
final_model_per_year,Final model per year,14,final_model_on_each_test_year,final_model_per_year:final_all_years:2021,final_all_years,2021.0,2021,,2021.0,0.9642873875261763,computed_pr_f1_eval_year,max F1 on eval-year 2021 validation PR curve,1271639,1281313,0.9837549451226983,0.5256934125804854,0.3922845922845923,0.4492949175860518,0.9016748011878477,0.41069488190070375
final_model_per_year,Final model per year,14,final_model_on_each_test_year,final_model_per_year:final_all_years:2022,final_all_years,2022.0,2022,,2022.0,0.9035039502051037,computed_pr_f1_eval_year,max F1 on eval-year 2022 validation PR curve,1272609,1282452,0.9657819551920852,0.4597741378505763,0.48732533696055397,0.4731490041179931,0.9085811606917495,0.4549313081215681
year_model_same_year,Year model on same year,14,year_model_on_its_own_year,year_model_same_year:2017:2017,2017,2017.0,2017,,2017.0,0.8921930405021389,computed_pr_f1_eval_year,max F1 on eval-year 2017 validation PR curve,1270825,1278700,0.9714499100649097,0.24740313897945257,0.2815236616194297,0.26336286042898366,0.8646274449229494,0.20372991499322113
year_model_same_year,Year model on same year,14,year_model_on_its_own_year,year_model_same_year:2018:2018,2018,2018.0,2018,,2018.0,0.9076331059175075,computed_pr_f1_eval_year,max F1 on eval-year 2018 validation PR curve,1271706,1281398,0.9774160721337165,0.4955052891248902,0.41258181311795017,0.4502574039246975,0.9101500739163413,0.44453840372701114
year_model_same_year,Year model on same year,14,year_model_on_its_own_year,year_model_same_year:2019:2019,2019,2019.0,2019,,2019.0,0.9022646063011852,computed_pr_f1_eval_year,max F1 on eval-year 2019 validation PR curve,1271570,1281008,0.9794872475425602,0.5036083818798366,0.43807434859887306,0.4685610274041865,0.896261910640864,0.4250235073547337
year_model_same_year,Year model on same year,14,year_model_on_its_own_year,year_model_same_year:2020:2020,2020,2020.0,2020,,2020.0,0.9460952365387653,computed_pr_f1_eval_year,max F1 on eval-year 2020 validation PR curve,1271629,1281489,0.9775799870307119,0.5543145966657156,0.433144349598675,0.4862951241752937,0.9059831129606128,0.4540797796860402
year_model_same_year,Year model on same year,14,year_model_on_its_own_year,year_model_same_year:2021:2021,2021,2021.0,2021,,2021.0,0.9175288391514824,computed_pr_f1_eval_year,max F1 on eval-year 2021 validation PR curve,1271639,1281313,0.9842755048922472,0.5456096520626409,0.41367521367521365,0.4705696867773807,0.9094777471030578,0.4404035704460516
year_model_same_year,Year model on same year,14,year_model_on_its_own_year,year_model_same_year:2022:2022,2022,2022.0,2022,,2022.0,0.9035039502051037,computed_pr_f1_eval_year,max F1 on eval-year 2022 validation PR curve,1272609,1282452,0.9657819551920852,0.4597741378505763,0.48732533696055397,0.4731490041179931,0.9085811606917495,0.4549313081215681
year_model_cumulative,Year model on cumulative years,14,year_model_on_2017_to_current_year,year_model_cumulative:2017:None,2017,,2017,2017-2017,,0.8921930405021389,computed_pr_f1_eval_year,max F1 on eval-year 2017 validation PR curve,1270825,1278700,0.9714499100649097,0.24740313897945257,0.2815236616194297,0.26336286042898366,0.8646274449229494,0.20372991499322113
