year,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,replay_pool_size,replay_target_size,replay_used_size,hard_target_size,hard_used_size,confident_target_size,confident_used_size,uncertain_target_size,uncertain_used_size,positive_rate_target_size,positive_rate_used_size,positive_rate_target_percent,positive_rate_achieved_percent,random_target_size,random_used_size,uncertain_threshold_mean,wmean_hard,wmean_confident,wmean_uncertain,wmean_positive_rate,wmean_random,artifact_suffix,run_key,replay_ratio
2017,0.836777357537635,0.08130918884821925,0.7612530354541039,0.14692533093866408,0.8448259988590089,0.07496504868656644,0.6392002676928225,0.13419212075710277,0.8318876252598209,0.18128770841345776,0,1672694,0,0,0,0,0,0,0,0,0,10.0,,0,0,,,,,,,"_combined_HE=0.1_CC=0.1_UP=0.2_PR=(0.1,10)_RR=0.3","RR_0.3_combined_HE=0.1_CC=0.1_UP=0.2_PR=(0.1,10)_RR=0.3",0.3
2018,0.8848331435111325,0.128626403038107,0.7977744470973701,0.22153446329597576,0.8779057423649805,0.1262224992795855,0.7623699072922957,0.2165857694985721,0.9057635056000269,0.43312605535327353,5575648,1676042,1676042,167604,167604,167604,167604,335208,271854,167604,167604,10.0,9.999761342211404,901376,901376,0.8718063831329346,0.9999999999999998,0.9999999999999991,1.0,0.9999999999999997,0.9999999999999999,"_combined_HE=0.1_CC=0.1_UP=0.2_PR=(0.1,10)_RR=0.3","RR_0.3_combined_HE=0.1_CC=0.1_UP=0.2_PR=(0.1,10)_RR=0.3",0.3
2019,0.8760849513967908,0.11812894802779939,0.7916780824944541,0.20558227387636743,0.8822282689903034,0.10936207003026,0.7619068106526696,0.1912697855518893,0.905369523638803,0.42598759357303195,11162455,1676031,1676031,167603,167603,167603,167603,335206,316654,167603,167603,10.0,9.999821005590592,856568,856568,0.8751748502254486,1.0000000000000002,0.9999999999999998,1.0000000000000002,1.000000000000001,0.9999999999999998,"_combined_HE=0.1_CC=0.1_UP=0.2_PR=(0.1,10)_RR=0.3","RR_0.3_combined_HE=0.1_CC=0.1_UP=0.2_PR=(0.1,10)_RR=0.3",0.3
2020,0.870116147211436,0.10674887299476574,0.8105971081327761,0.18865363674375651,0.8711904179599553,0.09455855198668703,0.7712187412847448,0.1684620929831152,0.902986594230263,0.46525502490014536,16749226,1676217,1676217,167621,167621,167621,167621,335243,308204,167621,167621,10.0,9.999940341603976,865150,865150,0.8330585161844889,1.0000000000000004,1.0000000000000004,1.0,0.9999999999999993,1.0,"_combined_HE=0.1_CC=0.1_UP=0.2_PR=(0.1,10)_RR=0.3","RR_0.3_combined_HE=0.1_CC=0.1_UP=0.2_PR=(0.1,10)_RR=0.3",0.3
2021,0.9206607295159799,0.13222505816185937,0.7572023235577715,0.22513613439502136,0.9159682897426078,0.12386474598826508,0.7238297227692774,0.21153136667502914,0.9051819643425496,0.4307544376726455,22336618,1676056,1676056,167605,167605,167605,167605,335211,317294,167605,167605,10.0,9.999701679544167,855947,855947,0.8534035086631775,1.0000000000000002,1.0,1.0,0.9999999999999986,0.9999999999999998,"_combined_HE=0.1_CC=0.1_UP=0.2_PR=(0.1,10)_RR=0.3","RR_0.3_combined_HE=0.1_CC=0.1_UP=0.2_PR=(0.1,10)_RR=0.3",0.3
2022,0.8159997711048483,0.12651193257342552,0.8474240037341735,0.220156674427629,0.8155246426828665,0.11084522925433891,0.7689581856839122,0.1937599807682401,0.8756404013512608,0.32521417653296547,27923473,1677624,1677624,167762,167762,167762,167762,335524,313226,167762,167762,10.0,9.999880783490898,861112,861112,0.8283647418022155,0.9999999999999998,1.0,0.9999999999999997,1.000000000000001,1.0000000000000009,"_combined_HE=0.1_CC=0.1_UP=0.2_PR=(0.1,10)_RR=0.3","RR_0.3_combined_HE=0.1_CC=0.1_UP=0.2_PR=(0.1,10)_RR=0.3",0.3
2017,0.8094540760105372,0.07166537053224249,0.7796503156872268,0.13126488719462087,0.8169047665886333,0.0696836533625743,0.707043667391668,0.12686404743142332,0.8376476831464988,0.17448067164850378,0,2230259,0,0,0,0,0,0,0,0,0,10.0,,0,0,,,,,,,"_combined_HE=0.1_CC=0.1_UP=0.2_PR=(0.1,10)_RR=0.4","RR_0.4_combined_HE=0.1_CC=0.1_UP=0.2_PR=(0.1,10)_RR=0.4",0.4
2018,0.8837416434825832,0.12714004621398162,0.7944718451001237,0.21920113673383768,0.8805014681066221,0.12786881304175332,0.7555855503853941,0.21872284857925772,0.901399239790218,0.44032428254624456,5575648,2234722,2234722,223472,223472,223472,223472,446944,351622,223472,223472,10.0,9.999910503329277,1212684,1212684,0.8981831073760986,1.0000000000000002,0.9999999999999996,0.9999999999999999,1.0000000000000004,0.9999999999999998,"_combined_HE=0.1_CC=0.1_UP=0.2_PR=(0.1,10)_RR=0.4","RR_0.4_combined_HE=0.1_CC=0.1_UP=0.2_PR=(0.1,10)_RR=0.4",0.4
2019,0.8543489611441027,0.1025574402904635,0.798863425455381,0.18177832612868616,0.8640994990444884,0.09782947737515192,0.782644236974573,0.1739192787383658,0.9013883366111926,0.41915451341717874,11162455,2234708,2234708,223470,223470,223470,223470,446941,411155,223470,223470,10.0,10.0,1153143,1153143,0.8728053867816925,1.0,0.9999999999999998,1.0,0.9999999999999979,1.0000000000000002,"_combined_HE=0.1_CC=0.1_UP=0.2_PR=(0.1,10)_RR=0.4","RR_0.4_combined_HE=0.1_CC=0.1_UP=0.2_PR=(0.1,10)_RR=0.4",0.4
2020,0.9081347791599372,0.13846047823351876,0.7528174088485372,0.2339011434311292,0.912988772668758,0.12580395976422779,0.6964302314771776,0.21311125650726823,0.9008195721590899,0.455077449454256,16749226,2234956,2234956,223495,223495,223495,223495,446991,405432,223495,223495,10.0,10.000223718651425,1159039,1159039,0.8205212354660034,1.0,1.0000000000000002,1.0,1.0000000000000022,1.0,"_combined_HE=0.1_CC=0.1_UP=0.2_PR=(0.1,10)_RR=0.4","RR_0.4_combined_HE=0.1_CC=0.1_UP=0.2_PR=(0.1,10)_RR=0.4",0.4
2021,0.932697734235093,0.15141749489644332,0.7431034077279461,0.25157345371597817,0.923809351553389,0.1333104996765232,0.7075695601676514,0.22435173843776768,0.8953140895853806,0.4359049222355259,22336618,2234742,2234742,223474,223474,223474,223474,446948,405922,223474,223474,10.0,9.999821008260469,1158398,1158398,0.8254784196615219,0.9999999999999999,1.0000000000000002,1.0,0.9999999999999996,0.9999999999999998,"_combined_HE=0.1_CC=0.1_UP=0.2_PR=(0.1,10)_RR=0.4","RR_0.4_combined_HE=0.1_CC=0.1_UP=0.2_PR=(0.1,10)_RR=0.4",0.4
2022,0.821550120885252,0.13071696265331764,0.8535095396464204,0.2267123967044616,0.8245415520399432,0.11571854561030659,0.7658507332497411,0.20105767097702176,0.8826204568126227,0.3457035432016027,27923473,2236832,2236832,223683,223683,223683,223683,447366,406722,223683,223683,10.0,9.999865881627123,1159061,1159061,0.7870399951934814,1.0,0.9999999999999999,1.0000000000000002,0.9999999999999999,1.0,"_combined_HE=0.1_CC=0.1_UP=0.2_PR=(0.1,10)_RR=0.4","RR_0.4_combined_HE=0.1_CC=0.1_UP=0.2_PR=(0.1,10)_RR=0.4",0.4
