year,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,replay_pool_size,replay_target_size,replay_used_size,replay_target_positive_rate,replay_actual_positive_rate,ratio_key,replay_ratio
2017,0.836777357537635,0.08130918884821925,0.7612530354541039,0.14692533093866408,0.8448259988590089,0.07496504868656644,0.6392002676928225,0.13419212075710277,0.8318876252598209,0.18128770841345776,0,1115129,0,0.1,,RR_0.2,0.2
2018,0.8852097450296744,0.12803703855451304,0.789705292877185,0.22034839969315345,0.8831687512679818,0.12928826499199605,0.7458885376336447,0.22037749313911204,0.8985284022845467,0.4305502913436189,5575648,1117361,1117361,0.1,0.09213674005088776,RR_0.2,0.2
2019,0.884797497516902,0.1258247595024568,0.7882665912485528,0.21700993929366538,0.8924895994715195,0.11793545606378966,0.7534311405584477,0.20394687039614282,0.9051054737925491,0.4191462442191416,11162455,1117354,1117354,0.1,0.09999964201139477,RR_0.2,0.2
2020,0.8739707183601938,0.10942320459249424,0.8076091655858193,0.1927329630457586,0.8783167102983653,0.09804607827755585,0.755229153109603,0.17356007520082037,0.9032520720838871,0.4634976314093534,16749226,1117478,1117478,0.1,0.10000017897444066,RR_0.2,0.2
2021,0.8588748052347878,0.08397564195375377,0.8347875167564263,0.15260041056285803,0.8468763540596034,0.07686017988552739,0.8022016866131394,0.14027992405845732,0.9043587363539323,0.4304155538912724,22336618,1117371,1117371,0.1,0.09999991050421032,RR_0.2,0.2
2022,0.7568822334444428,0.1026449668442731,0.8953906295583173,0.18417647990706026,0.7536108891261967,0.0912003638092482,0.8418470261135038,0.16457203756744154,0.883158251363269,0.351865382949259,27923473,1118416,1118416,0.1,0.10000035764867456,RR_0.2,0.2
2017,0.8094540760105372,0.07166537053224249,0.7796503156872268,0.13126488719462087,0.8169047665886333,0.0696836533625743,0.707043667391668,0.12686404743142332,0.8376476831464988,0.17448067164850378,0,1672694,0,0.1,,RR_0.3,0.3
2018,0.8720825688089816,0.1180034283996811,0.8074121194165113,0.20591268095168253,0.8656930139513378,0.11669962810894473,0.7713209959862182,0.20272698840959907,0.9016902613112464,0.4356078202506471,5575648,1676042,1676042,0.1,0.06142447504298818,RR_0.3,0.3
2019,0.8559071062694354,0.10297265378872478,0.7929596012267227,0.18227528706209317,0.8641364612250997,0.09763343864540332,0.780450027965409,0.17355530042097206,0.9019405933181485,0.4169056936053266,11162455,1676031,1676031,0.1,0.09999994033523246,RR_0.3,0.3
2020,0.7968402789709403,0.07326574331908468,0.8503626843445261,0.1349080480706137,0.7937464464871437,0.06442041885574515,0.827554150785535,0.11953566129324641,0.8996120200206432,0.44433923679020226,16749226,1676217,1676217,0.1,0.10000017897444066,RR_0.3,0.3
2021,0.8741991693000802,0.09072238983160888,0.8051433409374191,0.16307025827217594,0.8675929253506695,0.0866391038945863,0.786244508407817,0.15607927263249696,0.903861375719327,0.41719753706892443,22336618,1676056,1676056,0.1,0.10000023865551032,RR_0.3,0.3
2022,0.746788314902505,0.09896489190718441,0.8960032674018321,0.1782426214894911,0.7421643254133831,0.08876402591831667,0.8573570299296734,0.16087256732220034,0.8866046214189423,0.3548220167641756,27923473,1677624,1677624,0.1,0.09999976156755029,RR_0.3,0.3
2017,0.8250981769293901,0.07739729279535498,0.775842642059252,0.1407531871813149,0.8343099954753802,0.07393457965258281,0.677388321900619,0.13331796684955527,0.8384066547226475,0.18551637104370072,0,2230259,0,0.1,,RR_0.4,0.4
2018,0.8494019929451653,0.10437030648336905,0.835166175778595,0.1855522406553048,0.8368655962934829,0.10037353683215805,0.7998437111497887,0.17836392799857423,0.9015033733458413,0.4331632971331003,5575648,2234722,2234722,0.1,0.04606837002544388,RR_0.4,0.4
2019,0.8827759362250573,0.12297606703179696,0.7808779729025074,0.21248851627922638,0.8909293235920948,0.11596189158261702,0.7499031966613604,0.2008631468559674,0.9021480295275469,0.42076948356262145,11162455,2234708,2234708,0.1,0.09742122908227831,RR_0.4,0.4
2020,0.8605487139617195,0.09911114700516875,0.8017485708795696,0.17641419389072044,0.8594857462357338,0.0886214442013129,0.7868829599330669,0.15930177848875507,0.9048469249855694,0.44601108299430514,16749226,2234956,2234956,0.1,0.10000017897444066,RR_0.4,0.4
2021,0.8354879444696525,0.07307624978373901,0.8393852449377954,0.13444759297504122,0.8246066690310694,0.06893362858136713,0.8205827399888905,0.12718314764593777,0.9056120138956838,0.4251678517442442,22336618,2234742,2234742,0.1,0.09999991050421032,RR_0.4,0.4
2022,0.7488669689990128,0.09916215102088055,0.8898418810899119,0.17843938372833126,0.7449947312961012,0.08922822239981733,0.8521506841847026,0.16154152219632809,0.8845978591361809,0.3539892046878793,27923473,2236832,2236832,0.1,0.09999991058783136,RR_0.4,0.4
2017,0.8177668317655634,0.07563265784146235,0.7903836813987373,0.1380547128964174,0.8278110676135582,0.07234318913842887,0.6895599799230383,0.13094831489233263,0.8400197544027005,0.19236107926628143,0,2787824,0,0.1,,RR_0.5,0.5
2018,0.8715804931152983,0.1177289166331562,0.8087192178323079,0.2055368969591471,0.863646157209292,0.11540355764087845,0.7740560508649167,0.2008608850340575,0.9025884691575642,0.42879441960632936,5575648,2793403,2793403,0.1,0.036854689423617,RR_0.5,0.5
2019,0.8834065330402839,0.12334076060485609,0.7788540571115452,0.21295722369026776,0.8879762812900588,0.1140774027285854,0.7579916534010239,0.19830933915647056,0.9041898555053878,0.41860925734119364,11162455,2793385,2793385,0.1,0.07793698326582264,RR_0.5,0.5
2020,0.7998543864472011,0.07383216448233697,0.8440601431522313,0.13578670788253477,0.8062611028845678,0.0679517627798658,0.8218834247466765,0.12552532939572922,0.9001125411754487,0.4422602527159789,16749226,2793696,2793696,0.1,0.10000014317950127,RR_0.5,0.5
2021,0.8184382805710906,0.06705917759053949,0.8463112344488606,0.1242714557417187,0.8115487178358008,0.06487342398511568,0.8275513811038732,0.12031510399459654,0.9046944691549591,0.42009028687475325,22336618,2793427,2793427,0.1,0.10000010739496683,RR_0.5,0.5
2022,0.7366557703037152,0.09464878025683263,0.8863994398739716,0.1710346628899139,0.7321219636196192,0.0851746199704376,0.8513329335441313,0.15485611154082624,0.8792808275964195,0.3449769762508964,27923473,2796040,2796040,0.1,0.1,RR_0.5,0.5
