year,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,replay_pool_size,replay_target_size,replay_used_size,replay_target_positive_rate,replay_actual_positive_rate,weight_policy,current_origin_weight,year_positive_rate,target_positive_rate,replay_multiplier_unclipped,replay_multiplier,replay_pool_positive_rate,current_class_weight_0,current_class_weight_1,replay_class_weight_0,replay_class_weight_1,replay_weight_fallback,ratio_key,replay_ratio
2017,0.8361854980802231,0.08137370164284666,0.7650898494414764,0.14710188775090952,0.8437613361399091,0.07536884488577236,0.6482767274552451,0.13503811805706817,0.8321375894542941,0.18060949279407096,0,1115129,0,0.15,,post_sampling_replay_class_weights_v1,,0.018464221557745394,0.15,,,,0.5094057812070024,27.079397765905778,,,no_replay,RR_0.2,0.2
2018,0.8758729270583359,0.11957013336699061,0.79250248348699,0.207789655983897,0.8695492511633979,0.11795639873523049,0.7553013888395553,0.204046578352677,0.9000073458513004,0.42936224213780255,5575648,1117361,1117361,0.15,0.09213674005088776,post_sampling_replay_class_weights_v1,,0.0205408921410745,0.15,,,0.018464221557745394,0.510485834465298,24.34168859687342,0.5507437320770379,5.426716852841185,balanced,RR_0.2,0.2
2019,0.8944628301392701,0.13420148725484324,0.7724553015104245,0.22867451407221742,0.9018166518555801,0.1265053154729521,0.7403089102095255,0.21608554511148367,0.9054754734358158,0.41998856593112854,11162455,1117354,1117354,0.15,0.1499999105028487,post_sampling_replay_class_weights_v1,,0.02025266473245458,0.15,,,0.01950359486331636,0.5103356569614573,24.688109273776593,0.5882352321819088,3.3333353221601048,balanced,RR_0.2,0.2
2020,0.8641521840601125,0.10430476779676992,0.8293414036604698,0.18530416591980714,0.8636819386786555,0.09045789996115834,0.7793994608162127,0.16210206784543846,0.904062017555889,0.46252822511408676,16749226,1117478,1117478,0.15,0.15000026846166098,post_sampling_replay_class_weights_v1,,0.018628547988041647,0.15,,,0.019753450099724013,0.5094910790149083,26.84052457126387,0.5882354799043223,3.333327367529322,balanced,RR_0.2,0.2
2021,0.9016937078195156,0.11278689728005445,0.7949366195526916,0.19754569137193193,0.8959806989247735,0.10488449215895677,0.7538251780033328,0.18414738698953315,0.9022512103661117,0.4257516141063952,22336618,1117371,1117371,0.15,0.15000031323526386,post_sampling_replay_class_weights_v1,,0.01522180189033007,0.15,,,0.019472061526950947,0.5077285433001812,32.847622351308765,0.5882355108895359,3.333326372564228,balanced,RR_0.2,0.2
2022,0.8584455158009184,0.15558707367242583,0.8173464029406616,0.2614126002795418,0.8572530918766094,0.13629863776623768,0.7404732050373439,0.23022064400761047,0.8888584043434529,0.3612038388494003,27923473,1118416,1118416,0.15,0.14999964235132546,post_sampling_replay_class_weights_v1,,0.030648703165906066,0.15,,,0.01862168076299105,0.515808873040148,16.313903961724723,0.5882350466100179,3.3333412811006067,balanced,RR_0.2,0.2
2017,0.8040455566778965,0.07153650124561524,0.8024672170956775,0.13136259233376346,0.8139145830464463,0.06928369966932503,0.7151162790697675,0.12632815617195467,0.8387598635546756,0.18944464223104546,0,1672694,0,0.15,,post_sampling_replay_class_weights_v1,,0.018464221557745394,0.15,,,,0.5094057812070024,27.079397765905778,,,no_replay,RR_0.3,0.3
2018,0.9021476847150797,0.14485541756564754,0.7675804736924658,0.2437172651738802,0.8944842597266979,0.14005703034829248,0.7327460661385998,0.2351646973660961,0.9037593183581297,0.4294852881343641,5575648,1676042,1676042,0.15,0.06142447504298818,post_sampling_replay_class_weights_v1,,0.0205408921410745,0.15,,,0.018464221557745394,0.510485834465298,24.34168859687342,0.5327221802666341,8.14007770762506,balanced,RR_0.3,0.3
2019,0.869182216346437,0.11352562097228305,0.8018241756299327,0.1988913698061048,0.876566763921766,0.10515529674405419,0.7660370864346254,0.1849255312519474,0.9018114358304395,0.4244569060457647,11162455,1676031,1676031,0.15,0.1298949721097044,post_sampling_replay_class_weights_v1,,0.02025266473245458,0.15,,,0.01950359486331636,0.5103356569614573,24.688109273776593,0.5746432717580399,3.849263692652544,balanced,RR_0.3,0.3
2020,0.8958412082059036,0.12515001341296397,0.7664504971897969,0.2151665210214584,0.8964564350136714,0.1115804765901029,0.7354280933345728,0.19376289701370988,0.9034600332805451,0.4587596744776812,16749226,1676217,1676217,0.15,0.15000026846166098,post_sampling_replay_class_weights_v1,,0.018628547988041647,0.15,,,0.019753450099724013,0.5094910790149083,26.84052457126387,0.5882354799043223,3.333327367529322,balanced,RR_0.3,0.3
