year,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,replay_pool_size,replay_target_size,replay_used_size,ratio_key,replay_ratio
2017,0.8517519398642095,0.0868494824406648,0.7387858183584264,0.1554273803381033,0.8575901481321189,0.07977055531179436,0.6235569683787854,0.1414461512187254,0.8303224517487322,0.18125025611180332,0,1115129,0,RR_0.2,0.2
2018,0.8775756885820469,0.12278906650726518,0.8072901235643702,0.21315690476930033,0.8674041012623988,0.11842076668984701,0.774233651831066,0.20542180880890787,0.9060673844973791,0.4429988623591696,5575648,1117361,1117361,RR_0.2,0.2
2019,0.8834417949115867,0.12476374992851474,0.7905379727257461,0.2155146865716234,0.8913248975675739,0.11703637563052648,0.7556683732736738,0.20268180664220267,0.9059576377250478,0.429508632903521,11162455,1117354,1117354,RR_0.2,0.2
2020,0.888580038773009,0.12077001398535926,0.7931498294663015,0.20962170081647213,0.8889621108043305,0.10650903137144022,0.7529050850608906,0.18661827817621476,0.9052063152553078,0.4617235642306009,16749226,1117478,1117478,RR_0.2,0.2
2021,0.9128491790103734,0.12243904730586742,0.7661978786952329,0.2111380600339913,0.9053214001772516,0.11442873788789402,0.7537746806039489,0.19869418506366016,0.9056751900617795,0.4264656580443267,22336618,1117371,1117371,RR_0.2,0.2
2022,0.8326374086207636,0.13770392674796725,0.8477215706867378,0.23692220137677775,0.8328001766449868,0.12097065812583944,0.7659870250231696,0.20894334936910278,0.8840593658592104,0.35417441496369695,27923473,1118416,1118416,RR_0.2,0.2
2017,0.8094540760105372,0.07166537053224249,0.7796503156872268,0.13126488719462087,0.8169047665886333,0.0696836533625743,0.707043667391668,0.12686404743142332,0.8376476831464988,0.17448067164850378,0,1672694,0,RR_0.3,0.3
2018,0.8826939967677423,0.12687251183002313,0.8009027693058436,0.21904559894945816,0.8759241522804799,0.12472281567169796,0.7651760025574539,0.2144848460711299,0.9074337861216999,0.44429194219491014,5575648,1676042,1676042,RR_0.3,0.3
2019,0.8835708497806694,0.1232121870012426,0.7764501047310136,0.21267561479552005,0.8942173848077574,0.11836572298785131,0.7423740481005033,0.20417702047095018,0.9017342433967817,0.4209716186608993,11162455,1676031,1676031,RR_0.3,0.3
2020,0.9005908302120202,0.12870490565292717,0.75157803718115,0.21977429224013686,0.9015601248477346,0.11578518216522739,0.7260388584177745,0.19971998286653156,0.9033321846168529,0.4580084845412459,16749226,1676217,1676217,RR_0.3,0.3
2021,0.9185291187976061,0.130109770624965,0.7654570682721479,0.22241431739209166,0.9119349123454062,0.12084169655490112,0.7418067969499571,0.20782785232762951,0.904450412355173,0.43493338682051613,22336618,1676056,1676056,RR_0.3,0.3
2022,0.8148136292756899,0.12698370219712582,0.8582472723029348,0.2212342463002917,0.8136128221629738,0.1129829220839381,0.7977975249413946,0.19793463044492687,0.8881828271966372,0.3527062957334831,27923473,1677624,1677624,RR_0.3,0.3
2017,0.8250981769293901,0.07739729279535498,0.775842642059252,0.1407531871813149,0.8343099954753802,0.07393457965258281,0.677388321900619,0.13331796684955527,0.8384066547226475,0.18551637104370072,0,2230259,0,RR_0.4,0.4
2018,0.8975386119477547,0.1397867403767146,0.7738371181094128,0.23679803743800332,0.8906980072438127,0.13635498750090216,0.738180655702767,0.23018984958241953,0.9014657293869439,0.43902707906638083,5575648,2234722,2234722,RR_0.4,0.4
2019,0.8917414012494874,0.12985037995991863,0.7621943135920528,0.2218974496202219,0.8995871245782773,0.123450558483981,0.736565847782128,0.21145983868776325,0.9012636766457855,0.4148413302455489,11162455,2234708,2234708,RR_0.4,0.4
2020,0.9052285932327641,0.1362566859550485,0.7655666042177067,0.2313392645882597,0.9077977932242816,0.12286382868083295,0.724830343032444,0.2101121703102368,0.9043858264007825,0.46494628799980864,16749226,2234956,2234956,RR_0.4,0.4
2021,0.9264690062656002,0.1416597183569576,0.7571670468709579,0.2386668371668066,0.9201290617856168,0.13068890133516414,0.7305458768873403,0.22171477613198368,0.9066609786753821,0.4341285168693228,22336618,2234742,2234742,RR_0.4,0.4
2022,0.8384774538275561,0.1397330944211713,0.8281054904020071,0.23911785393878385,0.8317095038617517,0.12002774613994674,0.7641061985498555,0.20746617721069305,0.8844867417238855,0.353261716748971,27923473,2236832,2236832,RR_0.4,0.4
2017,0.8177668317655634,0.07563265784146235,0.7903836813987373,0.1380547128964174,0.8278110676135582,0.07234318913842887,0.6895599799230383,0.13094831489233263,0.8400197544027005,0.19236107926628143,0,2787824,0,RR_0.5,0.5
2018,0.8942514033507869,0.1370619368630997,0.7832743686714652,0.23329972189454315,0.8882682003544844,0.1341348284299559,0.7418747557986716,0.22719213323035756,0.902443028806012,0.4301258182608062,5575648,2793403,2793403,RR_0.5,0.5
2019,0.8953991491686343,0.1349637933759075,0.7699187782265549,0.22966772078897033,0.8981880667206682,0.12329233519172661,0.7478380587703825,0.21168518800426245,0.9046788755047426,0.4334214827270049,11162455,2793385,2793385,RR_0.5,0.5
2020,0.8832856187645327,0.11572376964349321,0.7928231733679204,0.20196751965010995,0.885207084770794,0.10283624573988742,0.7489541693780793,0.18084175084175083,0.9039558000898184,0.4606692411015954,16749226,2793696,2793696,RR_0.5,0.5
2021,0.9375145766267426,0.15972206113933282,0.7287222784036124,0.2620153432789124,0.9298676747095678,0.14349577621112777,0.7050951875978387,0.2384616041465643,0.9046497513592066,0.43792905625403766,22336618,2793427,2793427,RR_0.5,0.5
