year,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,replay_pool_size,replay_target_size,replay_used_size,ratio_key,replay_ratio
2017,0.836777357537635,0.08130918884821925,0.7612530354541039,0.14692533093866408,0.8448259988590089,0.07496504868656644,0.6392002676928225,0.13419212075710277,0.8318876252598209,0.18128770841345776,0,1115129,0,RR_0.2,0.2
2018,0.8568676168695285,0.10722506987877738,0.8146360166611478,0.18950665146332193,0.8505684489968593,0.10704541261688141,0.7831847405249884,0.18834754902170153,0.9000082660807279,0.43391738652218736,5575648,1117361,1117361,RR_0.2,0.2
2019,0.8550321822748775,0.10372335282615595,0.8059073594527473,0.18379197681285614,0.8673914924070244,0.0992314223648373,0.7743406617045993,0.17591891191836456,0.9019540673428343,0.4217907122258015,11162455,1117354,1117354,RR_0.2,0.2
2020,0.8825487812560852,0.11666719891809484,0.8072729019551328,0.20387093956539884,0.8859093336185319,0.10314039606631509,0.7463512131635214,0.18123536217161884,0.9034737970231123,0.464385191945151,16749226,1117478,1117478,RR_0.2,0.2
2021,0.9191564842831969,0.13264113925445847,0.7782860233766845,0.22665422448997063,0.9128620622676719,0.12190582233042785,0.7408473463616624,0.20936139850160543,0.905728388397326,0.4426230492809546,22336618,1117371,1117371,RR_0.2,0.2
2022,0.81930033189797,0.12932860130351695,0.854087169613163,0.2246413008699015,0.8206024002659105,0.11483245894389837,0.7786076432426539,0.20014644520041622,0.8837493318296918,0.3513892475646173,27923473,1118416,1118416,RR_0.2,0.2
2017,0.8094540760105372,0.07166537053224249,0.7796503156872268,0.13126488719462087,0.8169047665886333,0.0696836533625743,0.707043667391668,0.12686404743142332,0.8376476831464988,0.17448067164850378,0,1672694,0,RR_0.3,0.3
2018,0.8801743106572323,0.12473767459607639,0.8033339723592255,0.21594455980820335,0.8737868658321971,0.12307841272191877,0.767555855503854,0.21213995405548683,0.9072666243053575,0.44733015540307913,5575648,1676042,1676042,RR_0.3,0.3
2019,0.8748536498095233,0.11629067299092088,0.7848374238822063,0.2025666995145808,0.8870081867297908,0.11293163294166045,0.755883491803984,0.19650476749713391,0.9021638957571002,0.4216892755818634,11162455,1676031,1676031,RR_0.3,0.3
2020,0.8973095139915008,0.12872177788458042,0.782245280299755,0.22106617866665218,0.9028899152189829,0.11760514789704206,0.7288742214372037,0.2025314820794317,0.9043793937677078,0.4634817276627928,16749226,1676217,1676217,RR_0.3,0.3
2021,0.9364456389149173,0.15886126643303106,0.7393170433432892,0.26152678265029167,0.9285890099312777,0.14292754556060666,0.7176185426450538,0.23837760314012296,0.9055931146438458,0.43439550148490264,22336618,1676056,1676056,RR_0.3,0.3
2022,0.8042672851604412,0.12143326386650559,0.8638893751093996,0.21293513878492273,0.8010677277938472,0.10708412741628097,0.8040942048737938,0.1889986257091693,0.8855378787892825,0.3459461553375792,27923473,1677624,1677624,RR_0.3,0.3
2017,0.836777357537635,0.08130918884821925,0.7612530354541039,0.14692533093866408,0.8448259988590089,0.07496504868656644,0.6392002676928225,0.13419212075710277,0.8318876252598209,0.18128770841345776,0,2230259,0,RR_0.4,0.4
2018,0.8854850364438936,0.1289368673554344,0.7948552606354241,0.22188140427265707,0.8779096740913387,0.12599305596422056,0.7604873370511136,0.2161720087034223,0.9035911370542894,0.43868207202114373,5575648,2234722,2234722,RR_0.4,0.4
2019,0.8890550552367369,0.12907164871849308,0.7791103608579989,0.22145573849562636,0.8960293180870892,0.12102726052267304,0.7485694617734372,0.20836626667624727,0.9059662908242321,0.4264238694360578,11162455,2234708,2234708,RR_0.4,0.4
2020,0.8903796261296862,0.12251583347564281,0.7926598453187299,0.2122289389067524,0.8898641034452659,0.10582460994134156,0.7396114158222553,0.18515674090623474,0.9038395070609717,0.4647140243963779,16749226,2234956,2234956,RR_0.4,0.4
2021,0.883877065003477,0.09861696158764607,0.8143152795089486,0.17592827818876514,0.8747333166095095,0.09044305469919844,0.7777609453113165,0.16204273585203421,0.9007317571014463,0.43614374918026094,22336618,2234742,2234742,RR_0.4,0.4
2022,0.8267841304130127,0.13356253475940744,0.847739074625124,0.23076733705255217,0.8246712069457312,0.11647693377382633,0.771711279507169,0.2024043153277783,0.8840914191160532,0.3504164188788583,27923473,2236832,2236832,RR_0.4,0.4
2017,0.8177668317655634,0.07563265784146235,0.7903836813987373,0.1380547128964174,0.8278110676135582,0.07234318913842887,0.6895599799230383,0.13094831489233263,0.8400197544027005,0.19236107926628143,0,2787824,0,RR_0.5,0.5
2018,0.8940611336672271,0.13677599122967293,0.7827689572840237,0.2328630051405152,0.8891056580687675,0.1350538663493747,0.7418392356054417,0.228507344292787,0.9022059581309335,0.4308704553531362,5575648,2793403,2793403,RR_0.5,0.5
2019,0.8921133513437368,0.13186819797072638,0.7749918247942942,0.2253859974245419,0.8973379365666067,0.12270473645346179,0.7506776233704772,0.21093098320821094,0.9046413301285973,0.4318125855157572,11162455,2793385,2793385,RR_0.5,0.5
2020,0.884765915833362,0.11755386610173094,0.7970024499207379,0.20488780764908554,0.8835061169570685,0.10208224653849296,0.7549502649437575,0.17984619728602985,0.9055692262386044,0.46687348453203203,16749226,2793696,2793696,RR_0.5,0.5
2021,0.9106629758603006,0.12106603119171687,0.777803908656899,0.20952003864397653,0.9046726311476764,0.11430309944856437,0.758874917941726,0.1986805748357329,0.9059839120489896,0.43997680704100883,22336618,2793427,2793427,RR_0.5,0.5
2022,0.8231706270296563,0.1304477552563006,0.8417994048660948,0.22589079658931138,0.8190936886349224,0.11410991079368497,0.7799978193316252,0.1990934170107809,0.8823941702751981,0.3488122725343753,27923473,2796040,2796040,RR_0.5,0.5
