year,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,replay_pool_size,replay_target_size,replay_used_size,confidently_correct_target_size,confidently_correct_used_size,random_target_size,random_used_size,threshold_mean,weight_policy,year_positive_rate,replay_actual_positive_rate,replay_pool_positive_rate,current_class_weight_0,current_class_weight_1,replay_class_weight_0,replay_class_weight_1,replay_weight_fallback,ratio_key,replay_ratio
2017,0.8111441304113495,0.07343875299596526,0.7943661971830986,0.1344478685705502,0.8156889130212391,0.06751993682729916,0.686673916680609,0.12295029788317588,0.8293018208671464,0.18669435135537543,0,1115105,0,0,0,0,0,,post_sampling_replay_class_weights_v1,0.01846462226799368,,,0.509405989171098,27.07881010199126,,,no_replay,RR_0.2,0.2
2018,0.9042665501054099,0.14696974280883277,0.7619686644939786,0.2464112810050104,0.9008236387627647,0.14713615767521268,0.7254999467197102,0.24465472839432234,0.9048850717991944,0.43828627871168635,5575527,1117352,1117352,223470,223470,893882,893882,0.9050118327140808,post_sampling_replay_class_weights_v1,0.02054105759293129,0.016755686659172757,0.01846462226799368,0.5104859206974264,24.34149253211105,0.508520612034989,29.84061531887619,balanced,RR_0.2,0.2
2019,0.8689473447746712,0.11338718804220603,0.8022484025206148,0.1986919062795503,0.8737859343763615,0.1039082476666532,0.7745127565288474,0.18323392300958818,0.9050607287006853,0.4300470133999086,11162289,1117340,1117340,223468,223468,893872,893872,0.8911465406417847,post_sampling_replay_class_weights_v1,0.020252918493400666,0.017274061610610916,0.019503884911060806,0.5103357891417533,24.687799941668803,0.508788849940667,28.9451323765608,balanced,RR_0.2,0.2
2020,0.8981405002681945,0.12951257713824096,0.7809290483739252,0.22217818426332392,0.9010863701208109,0.11591565483908994,0.7312912522078646,0.2001119293827349,0.9043301024832393,0.4694444251579981,16748990,1117472,1117472,223494,223494,893978,893978,0.922510822614034,post_sampling_replay_class_weights_v1,0.01862864467549361,0.017825950001431803,0.019753728433774216,0.509491129211395,26.840385262045444,0.509074740877881,28.048995983935743,balanced,RR_0.2,0.2
2021,0.8784708182509906,0.09451179963760646,0.8139037181627902,0.16935753216009394,0.8736083247678673,0.09018996545025185,0.7830126748472453,0.16174913549854222,0.9042185975532625,0.43335939093421905,22336353,1117366,1117366,223473,223473,893893,893893,0.9091591238975525,post_sampling_replay_class_weights_v1,0.01522186728039563,0.01737389539327311,0.01947229254480353,0.5077285770137677,32.847481244561514,0.5088405423547274,28.778808015247513,balanced,RR_0.2,0.2
2022,0.8705969261009607,0.16495924887368668,0.793225975844565,0.2731203900600579,0.8729336513187621,0.14718067392899475,0.7107888567846045,0.24386503067484663,0.8872110081320986,0.35672087932855456,27923184,1118423,1118423,223684,223684,894739,894739,0.9249685168266296,post_sampling_replay_class_weights_v1,0.030648505860751102,0.016523265347726218,0.01862187349408291,0.5158087680506265,16.314008985355038,0.5084004352952834,30.260362554112554,balanced,RR_0.2,0.2
2017,0.8111441304113495,0.07343875299596526,0.7943661971830986,0.1344478685705502,0.8156889130212391,0.06751993682729916,0.686673916680609,0.12295029788317588,0.8293018208671464,0.18669435135537543,0,1672658,0,0,0,0,0,,post_sampling_replay_class_weights_v1,0.01846462226799368,,,0.509405989171098,27.07881010199126,,,no_replay,RR_0.3,0.3
2018,0.8921496924336494,0.13473197383240276,0.7839104899004863,0.22994322988955262,0.8863545216777255,0.1316823974020548,0.738891059567364,0.22352840042122457,0.9017884905724914,0.4253913061166711,5575527,1676028,1676028,335205,335205,1340823,1340823,0.9050118327140808,post_sampling_replay_class_weights_v1,0.02054105759293129,0.01663158372055837,0.01846462226799368,0.5104859206974264,24.34149253211105,0.5084564357799306,30.063282511210762,balanced,RR_0.3,0.3
2019,0.8710464368864559,0.11471532439188417,0.7990136724791643,0.20062647228198577,0.8752620808868519,0.10521219756888547,0.7760616099470808,0.18530256257479955,0.9056254911192858,0.4272980397331793,11162289,1676010,1676010,335202,335202,1340808,1340808,0.8903540372848511,post_sampling_replay_class_weights_v1,0.020252918493400666,0.017664572407085875,0.019503884911060806,0.5103357891417533,24.687799941668803,0.5089911103228613,28.30524218063906,balanced,RR_0.3,0.3
2020,0.8792308643630278,0.11233894326129366,0.7944468463275208,0.19684322409633392,0.8801587638627402,0.09995537160778369,0.7599702519289765,0.17667367238109646,0.9039306336778218,0.46221575703342827,16748990,1676208,1676208,335241,335241,1340967,1340967,0.9293532768885294,post_sampling_replay_class_weights_v1,0.01862864467549361,0.017861745081755965,0.019753728433774216,0.509491129211395,26.840385262045444,0.5090932946519036,27.992785571142285,balanced,RR_0.3,0.3
