year,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,replay_pool_size,replay_target_size,replay_used_size,hard_target_size,hard_used_size,random_target_size,random_used_size,hard_threshold_mean,weight_policy,year_positive_rate,replay_actual_positive_rate,replay_pool_positive_rate,current_class_weight_0,current_class_weight_1,replay_class_weight_0,replay_class_weight_1,replay_weight_fallback,ratio_key,replay_ratio
2017,0.8361854980802231,0.08137370164284666,0.7650898494414764,0.14710188775090952,0.8437613361399091,0.07536884488577236,0.6482767274552451,0.13503811805706817,0.8321375894542941,0.18060949279407096,0,1115129,0,0,0,0,0,,post_sampling_replay_class_weights_hard_example_mining_v1,0.018464221557745394,,,0.5094057812070024,27.079397765905778,,,no_replay,RR_0.2,0.2
2018,0.8920567687410716,0.13494973176318606,0.7864898307743251,0.2303712495373738,0.883503734353695,0.13043585384482717,0.7521756118353284,0.22231904294465646,0.9055337589566113,0.42995228765737226,5575648,1117361,1117361,335208,335208,782153,782153,0.8112762570381165,post_sampling_replay_class_weights_hard_example_mining_v1,0.0205408921410745,0.07198747763703942,0.018464221557745394,0.510485834465298,24.34168859687342,0.5387858331123273,6.945652444179223,balanced,RR_0.2,0.2
2019,0.8872815800039057,0.1274152716572063,0.7806658594571664,0.21907459399398804,0.8932713102699812,0.11850263896991982,0.751538097491718,0.2047243171656441,0.9042424163747328,0.4313196849833393,11162455,1117354,1117354,335206,335206,782148,782148,0.8698938488960266,post_sampling_replay_class_weights_hard_example_mining_v1,0.02025266473245458,0.12409764497196055,0.01950359486331636,0.5103356569614573,24.688109273776593,0.5708398854390498,4.029085323198304,balanced,RR_0.2,0.2
2020,0.8870974150372839,0.11953623154908255,0.7950040832012297,0.20782417273306067,0.8911215456709465,0.10736326092065944,0.7431439992562983,0.18762065141495873,0.9057508575344748,0.46322891784799225,16749226,1117478,1117478,335243,335243,782235,782235,0.8783019582430521,post_sampling_replay_class_weights_hard_example_mining_v1,0.018628547988041647,0.1428278677522063,0.019753450099724013,0.5094910790149083,26.84052457126387,0.5833134106784734,3.50071738708202,balanced,RR_0.2,0.2
2021,0.8873461008026877,0.10142066547655484,0.8143623150913666,0.180377162904631,0.8804243971756135,0.09443231441048035,0.7775084583143969,0.16841034503502852,0.9042572922025492,0.4246337977813965,22336618,1117371,1117371,335211,335211,782160,782160,0.8610776960849762,post_sampling_replay_class_weights_hard_example_mining_v1,0.01522180189033007,0.1491357839070461,0.019472061526950947,0.5077285433001812,32.847622351308765,0.5876378281553878,3.3526494239078253,balanced,RR_0.2,0.2
2022,0.8361577445243988,0.13822283401155816,0.8301942937160861,0.23698839017216122,0.8328119634546038,0.12079562732319991,0.7644605571607698,0.20862546725930334,0.8839492157156377,0.3405051345053429,27923473,1118416,1118416,335524,335524,782892,782892,0.8596816897392273,post_sampling_replay_class_weights_hard_example_mining_v1,0.030648703165906066,0.1491412855323958,0.01862168076299105,0.515808873040148,16.313903961724723,0.5876416278028697,3.3525257490917375,balanced,RR_0.2,0.2
2017,0.8040455566778965,0.07153650124561524,0.8024672170956775,0.13136259233376346,0.8139145830464463,0.06928369966932503,0.7151162790697675,0.12632815617195467,0.8387598635546756,0.18944464223104546,0,1672694,0,0,0,0,0,,post_sampling_replay_class_weights_hard_example_mining_v1,0.018464221557745394,,,0.5094057812070024,27.079397765905778,,,no_replay,RR_0.3,0.3
2018,0.889333925442565,0.13196580396926566,0.7866292546053434,0.2260150673373276,0.8791576040374112,0.12626169393017286,0.7531346570525344,0.21626666394671618,0.9007558706276761,0.4287630525490204,5575648,1676042,1676042,502812,502812,1173230,1173230,0.8223716020584106,post_sampling_replay_class_weights_hard_example_mining_v1,0.0205408921410745,0.050389548710593174,0.018464221557745394,0.510485834465298,24.34168859687342,0.5265316944659638,9.922692558167071,balanced,RR_0.3,0.3
2019,0.8836692966294842,0.12357252859150544,0.7786684578468718,0.21329563102741608,0.8909513436145867,0.11654485049833888,0.7546358043281848,0.2019074149749918,0.9047409646970744,0.4292829755009394,11162455,1676031,1676031,502809,502809,1173222,1173222,0.8606545329093933,post_sampling_replay_class_weights_hard_example_mining_v1,0.02025266473245458,0.08799359916373861,0.01950359486331636,0.5103356569614573,24.688109273776593,0.5482417662217355,5.68223148901546,balanced,RR_0.3,0.3
2020,0.8638321778747581,0.10332518325593981,0.8217610606715665,0.1835690731406852,0.8685670112902427,0.09267132867132867,0.7699637445384401,0.16543163024807253,0.9025826395004476,0.4597969405019432,16749226,1676217,1676217,502865,502865,1173352,1173352,0.8386921286582947,post_sampling_replay_class_weights_hard_example_mining_v1,0.018628547988041647,0.11812551716156082,0.019753450099724013,0.5094910790149083,26.84052457126387,0.566974109955737,4.232785701298964,balanced,RR_0.3,0.3
2021,0.8804350569327466,0.09496434268816667,0.8035911667176219,0.16985596579964457,0.8746892789541686,0.09088883546664009,0.7827601878503258,0.162866689081281,0.90497388947511,0.42402260667664293,22336618,1676056,1676056,502816,502816,1173240,1173240,0.8534542173147202,post_sampling_replay_class_weights_hard_example_mining_v1,0.01522180189033007,0.15903645224264584,0.019472061526950947,0.5077285433001812,32.847622351308765,0.5945560914422257,3.1439333118242456,balanced,RR_0.3,0.3
2022,0.8003140155362585,0.11851417188352549,0.8567069257249548,0.20822337026579746,0.7974476056667837,0.10509995570226205,0.8019407948536227,0.18584378257161807,0.8818776008957925,0.3314225216110231,27923473,1677624,1677624,503287,503287,1174337,1174337,0.856099271774292,post_sampling_replay_class_weights_hard_example_mining_v1,0.030648703165906066,0.17211246381787576,0.01862168076299105,0.515808873040148,16.313903961724723,0.603946765892616,2.9050772321119345,balanced,RR_0.3,0.3
2017,0.8228674048289992,0.07624917733772597,0.7731325886352598,0.13880854574007884,0.8333043495367183,0.07405476707448086,0.6833277563995316,0.13362779379588163,0.8359704092259145,0.18205789441653167,0,2230259,0,0,0,0,0,,post_sampling_replay_class_weights_hard_example_mining_v1,0.018464221557745394,,,0.5094057812070024,27.079397765905778,,,no_replay,RR_0.4,0.4
2018,0.8671205216145823,0.11476977544697003,0.814679586608341,0.201195669249823,0.8567349686169602,0.11052338811630848,0.7763293432316272,0.19349897965055798,0.9034036101668259,0.4350279011815212,5575648,2234722,2234722,670416,670416,1564306,1564306,0.8568670749664307,post_sampling_replay_class_weights_hard_example_mining_v1,0.0205408921410745,0.03776621879589497,0.018464221557745394,0.510485834465298,24.34168859687342,0.5196242428470115,13.239345000414707,balanced,RR_0.4,0.4
