source_id,source_label,source_section,evaluation_scope,row_uid,model_year,eval_year,year,years_included,scaler_year_used,threshold_used,threshold_source,threshold_reason,n_val_threshold_samples,n_test_samples,accuracy,precision,recall,f1_score,roc_auc,pr_auc
final_model_per_year,Final model per year,14,final_model_on_each_test_year,final_model_per_year:final_all_years:2017,final_all_years,2017.0,2017,,2017.0,0.8849590420722961,computed_pr_f1_eval_year,max F1 on eval-year 2017 validation PR curve,1305399,1135470,0.9724263961179072,0.1254057666603017,0.16823567082933077,0.1436971802095014,0.7502261727702719,0.07264188995310984
final_model_per_year,Final model per year,14,final_model_on_each_test_year,final_model_per_year:final_all_years:2018,final_all_years,2018.0,2018,,2018.0,0.9885396361351013,computed_pr_f1_eval_year,max F1 on eval-year 2018 validation PR curve,1307403,1138784,0.9757750372326973,0.529269202087994,0.2985383294191875,0.3817485040675915,0.7969194186603165,0.32696504926495995
final_model_per_year,Final model per year,14,final_model_on_each_test_year,final_model_per_year:final_all_years:2019,final_all_years,2019.0,2019,,2019.0,0.9901651740074158,computed_pr_f1_eval_year,max F1 on eval-year 2019 validation PR curve,1307185,1138747,0.9793817239474616,0.4523765259961579,0.3326952875763376,0.38341342997452665,0.805885844246287,0.30740712440663853
final_model_per_year,Final model per year,14,final_model_on_each_test_year,final_model_per_year:final_all_years:2020,final_all_years,2020.0,2020,,2020.0,0.9791050553321838,computed_pr_f1_eval_year,max F1 on eval-year 2020 validation PR curve,1307359,1138965,0.9836790419371974,0.5948717948717949,0.38339864960574155,0.466278101582015,0.8570015349063015,0.422689789445195
final_model_per_year,Final model per year,14,final_model_on_each_test_year,final_model_per_year:final_all_years:2021,final_all_years,2021.0,2021,,2021.0,0.974843442440033,computed_pr_f1_eval_year,max F1 on eval-year 2021 validation PR curve,1307470,1138849,0.9844061855434741,0.4599504541701073,0.2968731493544948,0.3608421810329314,0.8335578942859725,0.28970736553700643
final_model_per_year,Final model per year,14,final_model_on_each_test_year,final_model_per_year:final_all_years:2022,final_all_years,2022.0,2022,,2022.0,0.9248532056808472,computed_pr_f1_eval_year,max F1 on eval-year 2022 validation PR curve,1308587,1139600,0.9681686556686556,0.5409605813562944,0.454771805534165,0.4941360219777155,0.9058359843487709,0.4653279679026866
year_model_same_year,Year model on same year,14,year_model_on_its_own_year,year_model_same_year:2017:2017,2017,2017.0,2017,,2017.0,0.9142099618911743,computed_pr_f1_eval_year,max F1 on eval-year 2017 validation PR curve,1305399,1135470,0.977810950531498,0.2231853906611188,0.2473262888248479,0.2346365320939275,0.8659291488341431,0.15241776277389563
year_model_same_year,Year model on same year,14,year_model_on_its_own_year,year_model_same_year:2018:2018,2018,2018.0,2018,,2018.0,0.94538414478302,computed_pr_f1_eval_year,max F1 on eval-year 2018 validation PR curve,1307403,1138784,0.9771484320116897,0.5567122295645877,0.43114024326124295,0.4859451237579756,0.9018477277104446,0.47084373220125325
year_model_same_year,Year model on same year,14,year_model_on_its_own_year,year_model_same_year:2019:2019,2019,2019.0,2019,,2019.0,0.9168249368667603,computed_pr_f1_eval_year,max F1 on eval-year 2019 validation PR curve,1307185,1138747,0.981144187427058,0.511984904120767,0.45752438246285665,0.48322503008423584,0.8909029612941263,0.4434132015146159
year_model_same_year,Year model on same year,14,year_model_on_its_own_year,year_model_same_year:2020:2020,2020,2020.0,2020,,2020.0,0.9341706037521362,computed_pr_f1_eval_year,max F1 on eval-year 2020 validation PR curve,1307359,1138965,0.9856431058021976,0.6595280586952211,0.47112705982340997,0.5496309353310566,0.9024030828714757,0.5169899790138366
year_model_same_year,Year model on same year,14,year_model_on_its_own_year,year_model_same_year:2021:2021,2021,2021.0,2021,,2021.0,0.9426731467247009,computed_pr_f1_eval_year,max F1 on eval-year 2021 validation PR curve,1307470,1138849,0.9859990218193984,0.5431058176820889,0.35106004974535115,0.42645947987482463,0.9085744667540137,0.3934946027910423
year_model_same_year,Year model on same year,14,year_model_on_its_own_year,year_model_same_year:2022:2022,2022,2022.0,2022,,2022.0,0.9248532056808472,computed_pr_f1_eval_year,max F1 on eval-year 2022 validation PR curve,1308587,1139600,0.9681686556686556,0.5409605813562944,0.454771805534165,0.4941360219777155,0.9058359843487709,0.4653279679026866
year_model_cumulative,Year model on cumulative years,14,year_model_on_2017_to_current_year,year_model_cumulative:2017:None,2017,,2017,2017-2017,,0.9142099618911743,computed_pr_f1_eval_year,max F1 on eval-year 2017 validation PR curve,1305399,1135470,0.977810950531498,0.2231853906611188,0.2473262888248479,0.2346365320939275,0.8659291488341431,0.15241776277389563
year_model_cumulative,Year model on cumulative years,14,year_model_on_2017_to_current_year,year_model_cumulative:2018:None,2018,,2018,2017-2018,,0.94538414478302,computed_pr_f1_eval_year,max F1 on eval-year 2018 validation PR curve,1307403,2274254,0.9745138405824504,0.34538089696535673,0.34960583544762597,0.34748052415904895,0.8802115636126545,0.3265846002753152
