source_id,source_label,source_section,evaluation_scope,row_uid,model_year,eval_year,year,years_included,scaler_year_used,threshold_used,threshold_source,threshold_reason,n_val_threshold_samples,n_test_samples,accuracy,precision,recall,f1_score,roc_auc,pr_auc
final_model_per_year,Final model per year,14,final_model_on_each_test_year,final_model_per_year:final_all_years:2017,final_all_years,2017.0,2017,,2017.0,0.7087143189127504,computed_pr_f1_eval_year,max F1 on eval-year 2017 validation PR curve,1305399,1135470,0.9618563238130465,0.09215409082876834,0.20038424591738713,0.12624826000121042,0.7966737076981913,0.05946633617026952
final_model_per_year,Final model per year,14,final_model_on_each_test_year,final_model_per_year:final_all_years:2018,final_all_years,2018.0,2018,,2018.0,0.9744054351447486,computed_pr_f1_eval_year,max F1 on eval-year 2018 validation PR curve,1307403,1138784,0.9732100205131087,0.4564154517024182,0.36320936590837394,0.40451280449718924,0.8784506013830797,0.3781922274334222
final_model_per_year,Final model per year,14,final_model_on_each_test_year,final_model_per_year:final_all_years:2019,final_all_years,2019.0,2019,,2019.0,0.9830595159093647,computed_pr_f1_eval_year,max F1 on eval-year 2019 validation PR curve,1307185,1138747,0.9774085025031899,0.4092565947242206,0.3888888888888889,0.3988128622172369,0.8607371574203923,0.3606814257650702
final_model_per_year,Final model per year,14,final_model_on_each_test_year,final_model_per_year:final_all_years:2020,final_all_years,2020.0,2020,,2020.0,0.9657666341353119,computed_pr_f1_eval_year,max F1 on eval-year 2020 validation PR curve,1307359,1138965,0.9827492504159479,0.5478049085118342,0.4141838613721139,0.47171434717143473,0.8781503561442945,0.43928439225714827
final_model_per_year,Final model per year,14,final_model_on_each_test_year,final_model_per_year:final_all_years:2021,final_all_years,2021.0,2021,,2021.0,0.9665099191519906,computed_pr_f1_eval_year,max F1 on eval-year 2021 validation PR curve,1307470,1138849,0.985028743933568,0.4912017167381974,0.27111216392277626,0.34938563687705104,0.887537625993426,0.3190104337423052
final_model_per_year,Final model per year,14,final_model_on_each_test_year,final_model_per_year:final_all_years:2022,final_all_years,2022.0,2022,,2022.0,0.8971509716556711,computed_pr_f1_eval_year,max F1 on eval-year 2022 validation PR curve,1308587,1139600,0.9624350649350649,0.45005576738515807,0.44537707274500743,0.4477041968236766,0.8747934292885929,0.40954876783113503
year_model_same_year,Year model on same year,14,year_model_on_its_own_year,year_model_same_year:2017:2017,2017,2017.0,2017,,2017.0,0.8252530207694163,computed_pr_f1_eval_year,max F1 on eval-year 2017 validation PR curve,1305399,1135470,0.9547649871859231,0.0895752009184845,0.24982388728786423,0.1318685033381222,0.8172809080668784,0.0684185025437959
year_model_same_year,Year model on same year,14,year_model_on_its_own_year,year_model_same_year:2018:2018,2018,2018.0,2018,,2018.0,0.9275535013507994,computed_pr_f1_eval_year,max F1 on eval-year 2018 validation PR curve,1307403,1138784,0.9715837243937393,0.43154283263643184,0.423253531494269,0.4273579897363299,0.8845267875361214,0.40632590856065326
year_model_same_year,Year model on same year,14,year_model_on_its_own_year,year_model_same_year:2019:2019,2019,2019.0,2019,,2019.0,0.8744928432951162,computed_pr_f1_eval_year,max F1 on eval-year 2019 validation PR curve,1307185,1138747,0.9770133313194239,0.4061530277506871,0.41755537325676784,0.4117752808988764,0.8712161350325147,0.3778857295484127
year_model_same_year,Year model on same year,14,year_model_on_its_own_year,year_model_same_year:2020:2020,2020,2020.0,2020,,2020.0,0.9140986443755311,computed_pr_f1_eval_year,max F1 on eval-year 2020 validation PR curve,1307359,1138965,0.9840688695438402,0.6004635761589404,0.42811275319892345,0.4998483971443535,0.8889189590809506,0.4686039499892079
