source_id,source_label,source_section,evaluation_scope,row_uid,model_year,eval_year,year,years_included,scaler_year_used,threshold_used,threshold_source,threshold_reason,n_val_threshold_samples,n_test_samples,accuracy,precision,recall,f1_score,roc_auc,pr_auc
final_model_per_year,Final model per year,14,final_model_on_each_test_year,final_model_per_year:final_all_years:2017,final_all_years,2017.0,2017,,2017.0,0.7107689039748125,computed_pr_f1_eval_year,max F1 on eval-year 2017 validation PR curve,1270770,1278749,0.9472930184109626,0.1154555257939959,0.286355204693499,0.16456151224047103,0.8323398114375524,0.08709305193901529
final_model_per_year,Final model per year,14,final_model_on_each_test_year,final_model_per_year:final_all_years:2018,final_all_years,2018.0,2018,,2018.0,0.9710403778507483,computed_pr_f1_eval_year,max F1 on eval-year 2018 validation PR curve,1271674,1281406,0.9713151023172983,0.35425813708770276,0.3398899874669266,0.34692535934473995,0.8745394754569811,0.3316822110471872
final_model_per_year,Final model per year,14,final_model_on_each_test_year,final_model_per_year:final_all_years:2019,final_all_years,2019.0,2019,,2019.0,0.9860803404479015,computed_pr_f1_eval_year,max F1 on eval-year 2019 validation PR curve,1271554,1280996,0.9784058654359576,0.4685029197457496,0.3428506599099951,0.3959470673013932,0.8694185142302172,0.3527688399798122
final_model_per_year,Final model per year,14,final_model_on_each_test_year,final_model_per_year:final_all_years:2020,final_all_years,2020.0,2020,,2020.0,0.9674934100880567,computed_pr_f1_eval_year,max F1 on eval-year 2020 validation PR curve,1271574,1281509,0.9762857693547217,0.5226108064371123,0.37030194929290355,0.4334663137094068,0.8874311435835192,0.40200774281183976
final_model_per_year,Final model per year,14,final_model_on_each_test_year,final_model_per_year:final_all_years:2021,final_all_years,2021.0,2021,,2021.0,0.9573192645162826,computed_pr_f1_eval_year,max F1 on eval-year 2021 validation PR curve,1271579,1281346,0.9819393044501641,0.4561947679522444,0.36012936012936014,0.4025095528245379,0.8922251356376598,0.3757999758636268
final_model_per_year,Final model per year,14,final_model_on_each_test_year,final_model_per_year:final_all_years:2022,final_all_years,2022.0,2022,,2022.0,0.8997059121976645,computed_pr_f1_eval_year,max F1 on eval-year 2022 validation PR curve,1272595,1282431,0.9595331054848175,0.3824681584182784,0.46118461728700383,0.4181540945376267,0.8837044844215953,0.39947746776277954
year_model_same_year,Year model on same year,14,year_model_on_its_own_year,year_model_same_year:2017:2017,2017,2017.0,2017,,2017.0,0.8710331682345998,computed_pr_f1_eval_year,max F1 on eval-year 2017 validation PR curve,1270770,1278749,0.9605817873562364,0.15738340338778284,0.2697467753763858,0.19878560528992878,0.8477806696752535,0.1146497795086998
year_model_same_year,Year model on same year,14,year_model_on_its_own_year,year_model_same_year:2018:2018,2018,2018.0,2018,,2018.0,0.9109515131074373,computed_pr_f1_eval_year,max F1 on eval-year 2018 validation PR curve,1271674,1281406,0.9764953496393804,0.4687961347470138,0.36481687787216266,0.4103216712023024,0.8942459524100626,0.3950546343727712
year_model_same_year,Year model on same year,14,year_model_on_its_own_year,year_model_same_year:2019:2019,2019,2019.0,2019,,2019.0,0.8755794435934627,computed_pr_f1_eval_year,max F1 on eval-year 2019 validation PR curve,1271554,1280996,0.9765947746909436,0.4267742602938134,0.39000869795408993,0.4075640214985773,0.8735974302983708,0.3553899399919016
year_model_same_year,Year model on same year,14,year_model_on_its_own_year,year_model_same_year:2020:2020,2020,2020.0,2020,,2020.0,0.9157758223782378,computed_pr_f1_eval_year,max F1 on eval-year 2020 validation PR curve,1271574,1281509,0.9760212374630222,0.5141945094701,0.3847942413046248,0.44018145051101276,0.8946756301267058,0.4038025889389981
year_model_same_year,Year model on same year,14,year_model_on_its_own_year,year_model_same_year:2021:2021,2021,2021.0,2021,,2021.0,0.9253692999495763,computed_pr_f1_eval_year,max F1 on eval-year 2021 validation PR curve,1271579,1281346,0.983025662077222,0.49670867030280236,0.36604296604296604,0.4214810086179381,0.8885226080103277,0.39143055856272874
year_model_same_year,Year model on same year,14,year_model_on_its_own_year,year_model_same_year:2022:2022,2022,2022.0,2022,,2022.0,0.8997059121976645,computed_pr_f1_eval_year,max F1 on eval-year 2022 validation PR curve,1272595,1282431,0.9595331054848175,0.3824681584182784,0.46118461728700383,0.4181540945376267,0.8837044844215953,0.39947746776277954
year_model_cumulative,Year model on cumulative years,14,year_model_on_2017_to_current_year,year_model_cumulative:2017:None,2017,,2017,2017-2017,,0.8710331682345998,computed_pr_f1_eval_year,max F1 on eval-year 2017 validation PR curve,1270770,1278749,0.9605817873562364,0.15738340338778284,0.2697467753763858,0.19878560528992878,0.8477806696752535,0.1146497795086998
year_model_cumulative,Year model on cumulative years,14,year_model_on_2017_to_current_year,year_model_cumulative:2018:None,2018,,2018,2017-2018,,0.9109515131074373,computed_pr_f1_eval_year,max F1 on eval-year 2018 validation PR curve,1271674,2560155,0.9691038237919188,0.26816709292412616,0.3030151237838358,0.2845280629550902,0.8401338275685231,0.23290053454772364
year_model_cumulative,Year model on cumulative years,14,year_model_on_2017_to_current_year,year_model_cumulative:2019:None,2019,,2019,2017-2019,,0.8755794435934627,computed_pr_f1_eval_year,max F1 on eval-year 2019 validation PR curve,1271554,3841151,0.973307740310131,0.32304945336397034,0.2817302292336754,0.3009783535026419,0.8191873542529589,0.22479356549911986
year_model_cumulative,Year model on cumulative years,14,year_model_on_2017_to_current_year,year_model_cumulative:2020:None,2020,,2020,2017-2020,,0.9157758223782378,computed_pr_f1_eval_year,max F1 on eval-year 2020 validation PR curve,1271574,5122660,0.9704399667360317,0.313252688172043,0.3185504446712349,0.315879355211797,0.8141720553202497,0.24481061007376054
year_model_cumulative,Year model on cumulative years,14,year_model_on_2017_to_current_year,year_model_cumulative:2021:None,2021,,2021,2017-2021,,0.9253692999495763,computed_pr_f1_eval_year,max F1 on eval-year 2021 validation PR curve,1271579,6404006,0.971952243642495,0.3225191541977317,0.3335210710181218,0.32792786051036443,0.8039820777856879,0.2663495987720785
year_model_cumulative,Year model on cumulative years,14,year_model_on_2017_to_current_year,year_model_cumulative:2022:None,2022,,2022,2017-2022,,0.8997059121976645,computed_pr_f1_eval_year,max F1 on eval-year 2022 validation PR curve,1272595,7686437,0.9387838604544603,0.18166258856027215,0.4960366421454512,0.2659330167426942,0.8315438138728708,0.3020986902932682
year_model_next_year,Year model on next year,14,year_model_on_next_year,year_model_next_year:2017:2018,2017,2018.0,2017,,2018.0,0.8710331682345998,computed_pr_f1_eval_year,max F1 on eval-year 2017 validation PR curve,1270770,1281406,0.9677089072471956,0.2654755726888576,0.24933853223784988,0.2571541416825249,0.854594607113859,0.2023611246609256
year_model_next_year,Year model on next year,14,year_model_on_next_year,year_model_next_year:2018:2019,2018,2019.0,2018,,2019.0,0.9109515131074373,computed_pr_f1_eval_year,max F1 on eval-year 2018 validation PR curve,1271674,1280996,0.9755377846613105,0.36082826099323057,0.23987444692357146,0.2881740947707964,0.8454223783839455,0.22523398234679815
year_model_next_year,Year model on next year,14,year_model_on_next_year,year_model_next_year:2019:2020,2019,2020.0,2019,,2020.0,0.8755794435934627,computed_pr_f1_eval_year,max F1 on eval-year 2019 validation PR curve,1271554,1281509,0.9770887289905884,0.549593020422089,0.3591540323608103,0.4344191243041242,0.8746885033026318,0.3963065484825083
year_model_next_year,Year model on next year,14,year_model_on_next_year,year_model_next_year:2020:2021,2020,2021.0,2020,,2021.0,0.9157758223782378,computed_pr_f1_eval_year,max F1 on eval-year 2020 validation PR curve,1271574,1281346,0.9823068866644918,0.4659136212624585,0.32395472395472397,0.38217740836626246,0.8834369051488034,0.35563651308914057
year_model_next_year,Year model on next year,14,year_model_on_next_year,year_model_next_year:2021:2022,2021,2022.0,2021,,2022.0,0.9253692999495763,computed_pr_f1_eval_year,max F1 on eval-year 2021 validation PR curve,1271579,1282431,0.9710939613905154,0.5870724007659266,0.28054902930629405,0.3796646474112253,0.8734117546285034,0.3910827709221562
standalone_prior_years,Standalone prior-years,15,year_model_on_all_prior_years_local,standalone_prior_years:2017:2017,2017,2017.0,2017,,2017.0,0.8710331682345998,computed_pr_f1_eval_year,max F1 on eval-year 2017 validation PR curve,1270770,1278749,0.9605817873562364,0.15738340338778284,0.2697467753763858,0.19878560528992878,0.8477806696752535,0.1146497795086998
standalone_prior_years,Standalone prior-years,15,year_model_on_all_prior_years_local,standalone_prior_years:2018:2017,2018,2017.0,2017,,2017.0,0.8673022958971991,computed_pr_f1_eval_year,max F1 on eval-year 2017 validation PR curve,1270770,1278749,0.9539331018049672,0.13046896009598477,0.27207626935852636,0.17636531416906687,0.8376988109198095,0.1094207935786522
standalone_prior_years,Standalone prior-years,15,year_model_on_all_prior_years_local,standalone_prior_years:2018:2018,2018,2018.0,2018,,2018.0,0.9109515131074373,computed_pr_f1_eval_year,max F1 on eval-year 2018 validation PR curve,1271674,1281406,0.9764953496393804,0.4687961347470138,0.36481687787216266,0.4103216712023024,0.8942459524100626,0.3950546343727712
standalone_prior_years,Standalone prior-years,15,year_model_on_all_prior_years_local,standalone_prior_years:2019:2017,2019,2017.0,2017,,2017.0,0.7916823618201809,computed_pr_f1_eval_year,max F1 on eval-year 2017 validation PR curve,1270770,1278749,0.9603808096819626,0.13257393443499652,0.21388205858245976,0.1636870862840258,0.8217638391624273,0.08625894388560376
standalone_prior_years,Standalone prior-years,15,year_model_on_all_prior_years_local,standalone_prior_years:2019:2018,2019,2018.0,2018,,2018.0,0.800253765574791,computed_pr_f1_eval_year,max F1 on eval-year 2018 validation PR curve,1271674,1281406,0.9706822037667999,0.3442409299048961,0.34023812839437406,0.34222782505165106,0.8669466857361341,0.29363281623166093
standalone_prior_years,Standalone prior-years,15,year_model_on_all_prior_years_local,standalone_prior_years:2019:2019,2019,2019.0,2019,,2019.0,0.8755794435934627,computed_pr_f1_eval_year,max F1 on eval-year 2019 validation PR curve,1271554,1280996,0.9765947746909436,0.4267742602938134,0.39000869795408993,0.4075640214985773,0.8735974302983708,0.3553899399919016
standalone_prior_years,Standalone prior-years,15,year_model_on_all_prior_years_local,standalone_prior_years:2020:2017,2020,2017.0,2017,,2017.0,0.540197567392786,computed_pr_f1_eval_year,max F1 on eval-year 2017 validation PR curve,1270770,1278749,0.9370298627799514,0.08911118117458225,0.2682369181657392,0.13377940812616315,0.8085745692229868,0.07093177305740658
